,@Trevornoah,@GarethCliff,@SAPresident,@News24,@Julius_S_Malema,@helenzille,@mailandguardian,@5FM,@loyisogola,@Computicket,@MTVbaseAfrica,@OfficialCSA,@UlrichJvV,@euphonik,@BBCAndrewH,@Camfed,@BobSkinstad,@SamsungSA,@liveamp,@hartleyr,@SmithInAfrica,@gertjohan,@_AfricanUnion,@SandtonCity,@ParliamentofRSA,@Mo_IbrahimFdn,@NDOCKenya,@PeterGreste,@JendayiFrazer,@art2gee,@IECSouthAfrica,@forbesafrica,@Entrepreneur_SA,@geoffreyyork,@HenleyAfrica,@IFCAfrica,@africaprogress,@MbuyiseniNdlozi,@FoodBlogCT,@AfricaResearch,@MadeItInAfrica,@cnbcafrica,@willintune,@AfricaGoodNews,@ThinkAfricaFeed,@CityofJoburgZA,@theafricareport,@schneiderhome,@TheStar_news,@rangerdiaries,@daniel_howden,@Aynte,@GautengProvince,@TechCentral,@africamedia_CPJ,@savetherhino,@mary_harper,@okayafrica,@africagathering,@MercedesBenz_SA,@ayittey,@cx73,@africatechie,@Hamza_Africa,@ONEinAfrica,@audisouthafrica,@thisisafrica,@jaxpanik,@forbeesta,@t_mcconnell,@equal_education,@mikestopforth,@iamsuede,@JamalMOsman,@KahnMorbee,@artsouthafrica,@malonebarry,@InvestInAfrica,@TheEIU_Africa,@sarzss,@VISI_Mag,@BrendanSAfrica
20,AboutLastNight,CliffCentralCreative,,Covid19SA,PTArape,Level4Restrictions,Mali,InTheMix,PremierLeagueIsBack,HeresToYou,BETAwards,3TCricket,mangroves,euNITE947,,Ghana,buffalo,GalaxyA31you,LiveAMP,LilyMineTragedy,,SouthAfrica,1mby2021,unmaskingGJC,PARLIAMENT,IIAG,DRRday,journalismisnotacrime,CMUAfrica,PostCovid19,ByElections,BusinessTomorrow,smallbiz,TracyZille,Leadership,LatinAmerica,DidYouKnow,StratCom,CapeTown,Mocambique,Nigeria,AgainstAllOdds,Cameroon,covid19,SouthAfrica,ZindziMandela,COVIDー19,VeryStableGenius,MandelaDay,dusk,BordersNewsroom,Israeli,Lesufi,,,COVID19,Somalia,JusticeForWazizi,ADHD,UnrivalledAMG,Ethiopia,Surf,Harvard,Chinese,Ebola,audiQ8,,WorldOceansDay,outrage,Coronavirus,EducationCharter,socent,earthquake,Ethiopia,antibullying,ArtSouthAfrica,COVID19,debtcrisis,GuineaBissau,EarthMatters,PicksOfTheWeek,media
21,Grammys,SoWhatNow,,Covid19SA,ThrowBack,Covid_19,SouthSudan,5Drive,BarcaLeganes,BeBrave,StayHome,3TCricket,photographers,YawaAfrica,,Data,leadership,Cheers_SA,LiveAMP,eskom,,15YEARSOFE,AUEUMeetUp,Levingers,Zlist,IndependenceDay,DRRday,pressfreedom,Teachers,SAfmSunrise,SocialMediaandElections,CNBCAfrica,startup,COVID_19,Leadership,India,energy,SHUTDOWNSA,Burger,Mozambique,Ghana,AgainstAllOdds,SamuelWazizi,FakeNews,Freetown,JoburgEnterprises,Africa,HappyNewYear,67waystohelp,salvation,Osint,Somalia,GAUTENGCOVID19,,,RhinoFilmClub,Ethiopia,SamuelWazizi,ClimateChange,SAINC,Eritrea,Supertubes,BlackLivesMatter,BREAKING,DRC,Q8,,ThrowbackThursday,twoutrage,Ethiopia,COVID19,FourthIndustrialRevolution,Incel,c4news,UKTour2019,LoveOfArt,BREAKING,Africa,Coronavirus,KimberlySueEndicott,PicksOfTheWeek,journalism
22,DollyPartonChallenge,GCS,,Covid19SA,EFFTurns7,CyrilRamaphosa,SouthSudan,ForbesAndFix,BarcaLeganes,LionKingConcertSA,MTVbaseDJTakeoverLive,3TCricket,WorldGiraffeDay,FreshOn947,,GirlsEducation,WednesdayWisdom,Samsung,LiveAMP,Zimbabwe,,FashionIcon,1mby2021,InternationalPlasticBagFreeDay,Parliament,MIFPrize,BuildToLast,WorldPressFreedom,GwenIfill,MediatedConversation,SocialMediaandElections,COVID19,innovative,Congo,Wisdom,Africa,education,COVID19,Special,covid19,Kenyan,AgainstAllOdds,BlackLivesMatter,iSpeakAfricaChat,Ebola,JoburgEnterprises,Eritrea,Catalonia,TheStarNews,leads,COVIDー19,ICYMI,COVID19SA,,,ConservationOptimism,Somalia,JusticeForTshegoPule,Somali,VISIONAVTR,EritreaSalutesItsMartyrs,JeffreysBay,africanstartups,SouthSudan,Ebola,audisouthafrica,,TBT,education,Senegal,FixOurSchools,business,WTF,Africa,TuneIn,Painting,Karakaxlist,BrightAfrica2015,China,IshashaWilderness,VISIArt,landreform
23,DollyChallenge,TheGarethCliffShow,,Covid19SA,Covid_19,JohnSteenhuisen,Burundi,UnpopularOpinion,LaLiga,WWELIVEFans,TBT,3TCricket,FathersDay,euNITE947,,MondayMotivation,SAA,GalaxyA31,LiveAMP,HumanRights,,SAFW,AUEUMeetUp,IconicSandton,Zlist,LiberationDay,DRRday,journalismisnotacrime,HIV,SAfmSunrise,SocialMediaandElections,COVID19,idea,ESKOM,MBA,IFCinsights,Africa,COVID19,MushroomSA,UNHabitat,Ethiopia,CNBCAfrica,TheNewsroom,Brands,Lesotho,JoburgBudget20,Mali,ScrapTheCap,RhodesStatue,example,ForumMIDEM,MiddleEast,COVID19,,,rhino,AlShabaab,Pride,QweziBeauty,MercedesBenz,Eritreashinesat28,EasternCape,ORTM,Burundi,DRC,ForwardTogether,,KungFury,DerrenBrown,Ethiopia,9millionMeals,LockdownLife,imnotracist,Ethiopia,SOYL,Acrylic,COVID19,SouthAfrica,coronavirus,kidnapping,VISIWin,RamaphosaQandA
24,ImpeachmentTrial,SoWhatNow,,Covid19SA,RIPWelcomeMsomi,StraightTalk,bolsonarocovid,MidMorningsOn5,HighFidelity,WWESouthAfrica,ThrowbackThursday,BlackLivesMatter,FathersDay,FreshOn947,,TeamQCT,Eskom,YouTube,LiveAMP,Growth,,TBT,1mby2021,HomeTeamHero,PARLIAMENT,Kwibohora,BuildToLast,hinger,Health,WilliamKentridge,SocialMediaandElections,Level3Lockdown,StartupperChallenge,G20,Management,PPE,DYK,COVID19,HarringtonsCocktailLounge,GlobalCeasefire,Ethiopia,AgainstAllOdds,RobertFripp,ISpeakAfricChat,poverty,MandelaDay2020,Bamako,PayUpNow,SAA,strength,COVID19,Somalia,Lesufi,,,BrightenYourDay,coronavirus,JusticeForWazizi,SDGs,sustainableluxury,Eritrea,LakeBrenton,Mali,Rwanda,Ebola,audisouthafrica,,ParliamentFunk,Gordhan,Brexit,NIDSCRAM,WeAreHiring,ihaveblackfriends,Somalia,WeLoveTheBigBreakfast,Inspiration,Malawi,impinv,coronavirus,KimberlySueEndicott,PicksOfTheWeek,RamaphosaQandA
25,LoudAndClearTour,SoWhatNow,,Covid19SA,OccupyCliftonBeach,RealSONAtour,Trump,GoodeKarma,InsecureHBO,KISSArmy,MTVbaseLounge,SolidarityCup,WorldGiraffeDay,947MixAt6,,TogetherWeCan,SOEs,SisonkewithGalaxy,LiveAMP,YouthDay2020,,HomeOfSAFW,AUEUMeetUp,PringleofScotland,NationalAssembly,COVID19,BuildToLast,COVID19,Mali,AI,SocialMediaandElections,175Africa,entrepreneurs,COVID19,Development,PPE,agricultural,EFFTurns7,IloveAvos,Africa,AI,AgainstAllOdds,KingCrimson,women,aid,67minutes,Kenya,BankHoliday,TheStarNews,wisdom,Covid,COVID19,GAUTENGCOVID19,,,SouthAfrica,globalnewspod,SamuelWazizi,STEM,MissUniverse2019,African,LakeBrenton,Bangangté,Nigeria,DRC,audiQ8,,swagsurfin,londonattack,Kenya,PrideEveryMonth,Adopt_an_SME,doyou,Ethiopia,HotHit,Retweet,AJOpinion,impact,Malawi,kidnapping,PicksOfTheWeek,BudgetSpeech2018
26,EggnogTheBulldog,SoWhatNow,,Covid19SA,LockdownSA,DAWorks,kanyewest2020,WCW,TheMiddayReport,Rhapsody,MTVbaseLounge,ThatsOurGame,8Netflix,AllIn,,education,drivingrange,ConnectYourWay,Everything,Nkurunziza,,SAFW,1mby2021,PALLADIUM,NationalAssembly,COVID19,DRRday,coronavirus,rwandahealthpost,ML,SocialMediaandElections,CNBCAfrica,SMME,COVID19,Skills,COVID19,DidYouKnow,AJOpinion,BotanicumCapeTown,COVID19,Botswana,AgainstAllOdds,NotATarget,iSpeakAfricaChat,taxheaven,WeServeJozi,pandemic,BBCPidgin,Covid19,stopindifference,BordersNewsroom,GERD,COVID19SA,,,rhino,coronavirus,COVID19,Kakuma,XClass,Africa,SUP,sayitwithyourchest,coronavirus,WorldRefugeeDay,audisouthafrica,,butwecanlandonacomet,LondonIsOpen,Congo,EducationCharter,keepSMEsgoing,doyoureally,Ethiopian,AdoptAFuture,Art,COVID19,socinv,Zimbabwe,Ransom,VISIWin,BudgetSpeech2018
27,LoudAndClearTour,SoWhatNow,,covid19,BlackLivesMatter,MatricResults2019,Tanzania,GoodeMorning,InsecureHBO,RWC2019,MTVBaseLounge,KFCAmateurAwards,8Netflix,euNITE947,,TogetherWeCan,socialdistance,GalaxyA51,LiveAMP,Covid,,SS19,AUEUMeetUp,CreateTomorrow,Covid19SA,COVID19,RiversideAttack,virtual,Rwanda,blockchain,socialmediaandelections,BusinessTomorrow,entrepreneurs,Tanzania,Management,COVID19,energy,COVID19,JEFFCook,Midroc,Nigeria,AgainstAllOdds,DefendPressFreedom,ECAfrica,transparency,COVID19,Quarantine,BBCPidgin,TheStarNews,powerofone,bordersnewsroom,HappyFathersWay,COVID19,,,poaching,Somalia,COVID19,NewYork,XClassExperience,southafrica,Knysna,saylouder,Somalia,PassTheMic,audiA7,,YouBetterBelieveIt,Westminister,Congo,ZindziMandela,mask,AfricaDay2020,Ethiopian,SatStar,Sketching,BlackLivesMatter,Social,coronavirus,KimberlySueEndicott,PicksOfTheWeek,ANCNEC
28,LoudAndClearTour,SoWhatNow,,ZindziMandela,Covid19,Fauxrager,SouthSudan,5DriveTime,life,DisneyOnIce,MTVBaseLounge,KFCAmateurAwards,8Netflix,eunite947,,GirlsEducation,excuse,SisonkewithGalaxy,LiveAMP,judge,,LuxuryCollections,Climatecahnge,MiMask,COVID19,COVID19,RiversidedriveAttack,graphicrecording,healthcare,COVID19,SocialMediaandElections,COVID19,innovation,covid19,Leadership,COVID19,education,ZindziMandela,JEFFCook,Ethiopia,Nigeria,AgainstAllOdds,Afghanistan,ECafrica,development,JoburgEnterprises,COVID19,BBCPidgin,LungiNgidi,Environmental,BordersNewsroom,WorldRefugeeDay,Lesufi,,,LeroyBruwer,Somalia,FreeKente,Kakuma,xclass,Zim,SUP,COVID19,coronavirus,COVID19,A7,,TalkingToMyself,Parliament,Congo,EducationCharter,cyrilramaphosa,eidmubarak2020,Ethiopian,NP,ArtSouthAfrica,coronavirus,investor,Ndayishimiye,KimberlySueEndicott,VISIDesign,landreform
29,LoudAndClearTour,eNCA,,ZindziMandela,IGSessionsWithTumiSole,WokeForPay,SouthSudan,GoodeMorning,BlackLivesMatter,AKAOrchestraEthekwini,MTVbaseDJTakeoverLive,TuksSport,joburg,euNITE947,,entrepreneur,fighter,Samsung,lockdown,Kenya,,SandtonCity,AUEUMeetUp,ZyleClothing,NAHybridSitting,COVID19,KenyaAttack,ABSCBN,Health,COVID19,Elections2019,Lockdowns,Africa,Ethiopia,Effectiveness,Nigeria,Africa,EFFTurns7,TheSalmonLady,Freetown,Nigeria,AgainstAllOdds,RIP,Entrepreneurs,documentary,JoburgCares,Mali,SolarEclipse17,SAA,politicized,FakeNews,WorldRefugeeDay,GAUTENGCOVID19,,,FathersDay,khat,JusticeForWazizi,Africa,xclassExperience,Angola,Sunset,NACYDATE,Mogadishu,DayOfTheAfricanChild,audisouthafrica,,love,RealNews,Congo,9MillionMeals,cyrilramaphosa,TheRootsAfricaDay,Ethiopia,lorespresso,LoveOfArt,Morocco,Stockexchange,Burundi,Uganda,VISIWin,ANC54
30,Throwback,SoWhatNow,,CyrilRamaphosa,vbsbankheist,Eskom,COVID19,InTheMix,life,FindyourFit,StayHome,AssupolTuksCricket,Kakuma,euNITE947,,FlashbackFriday,quote,Samsung,LiveAMP,Kenyatta,,SAFW,1mby2021,CreateTomorrow,NationalAssembly,IndependenceDay,RiversideAttack,Philippines,AGRF2019,FlattenTheCurve,SocialMediaandElections,COVID19,entrepreneurs,DRCongo,InfoSession,COVID19,DYK,RIPZindziMandela,AkiyaSushi,SierraLeone,Ethiopia,AgainstAllOdds,AFP,AITMBenefitConcert,Marikana,COVID19,Mali,BBCPidgin,TheStarNews,support,RefugeesGr,SecurityCouncil,COVID19SA,,,COVID19,COVID19,SamuelWazizi,ClimateCrisis,Xclass,Somalia,Knysna,bangangte,Museveni,ONEChampion,audiQ8,,justsaying,GerrieNel,Congo,SchoolMealsNow,covid,africaday2020,Oromo,coachvusi,Painting,Baltimore,fundraising,France,kidnap,PicksOfTheWeek,landreform
31,DailyShow,SoWhatNow,,Covid19SA,JusticeForThorishoThemane,drought,COVID19,ForbesAndFix,InsecureHBO,FindyourFit,IsonoBET,KFCAmateurAwards,YouthDay2020,euNITE947,,AnnualReport,quoteoftheday,GalaxyWatchActive,LiveAMP,Magufuli,,SAFW,AUEUMeetUp,ColeHaan,Parliament,MIFScholar,Riversideattack,Philippines,Kagame,COVID19,SocialMediaandElections,COVID19,SMME,ZweliMkhize,Business,IFCinsights,agricultural,COVID19,BotanicumCapeTown,CAR,BurkinaFaso,AgainstAllOdds,Minneapolis,JazzForACause,ANC,Masuku,Paris,Lagos,RIPZindziMandela,powerful,coronavirus,WorldRefugeeDay,COVID19,,,LeZooDesAnimauxDisparus,Somalia,ElmaRobynMontsumi,SDGs,JustLikeYou,Benin,WhiteBridge,GhislaineMaxwell,Niger,COVID19,Q8,,TBT,Tupperware,Congo,FeedTheFuture,ASonnetADay,teamessence,Kenyan,drMarkBlair,Acrylic,COVID19,Africa,SARB,KimberlySueEndicott,VISIBestBuys,Anc54
32,MissUniverse2019,SoWhatNow,,Covid19SA,JusticeForThorisho,MatricResults19,Malawi,YoungLove5,BloodAndWater,AKAOrchestraEthekwini,MTVbaseDJTakeoverLive,CSAawards,MTNPulse,euNITE947,,GirlsEducation,surfing,Samsung,LiveAMP,Tanzania,,SAFWSS19,AUEUMeetUp,HP,Executive,NowGeneration,UPDATE,WorldPressFreedomDay,Productivity,COVID19,SocialMediaandElections,COVID19,BBBEE,COVID19,HenleyAfrica,COVID19,renewableenergy,WeAreNotLed,CocoSafar,Africa,Brazzaville,AgainstAllOdds,Zimbabwe,ThaboMbekiPresidentialLibrary,SouthAfrica,COVID19,Kenya,TWT2017,TheStarNews,rhino,covid_19,SecurityCouncil,Lesufi,,,COVID19,coronavirus,Pride,Ghana,JustLikeYou,Eritrea,Knysna,entrepreneur,Kenya,ONEWorld,audisouthafrica,,tbt,NewsQuiz,Congo,SchoolMealsNow,covid19,twosidessamecoin,Kenyan,LOVEPAWS3,Inspiration,COVID19,equity,Iraq,KimberlySueEndicott,VISIMagazine,CR17
33,SouthAfrica,lockdowns,,Covid19SA,SACP,MatricResults19,EducationMatters,BestIEverHad,BloodAndWater,TBT,TBT,ThatsOurGame,YouthDay,euNITE947,,climate,thewave,SamsungTV,iBhanoyi,prayers,,SatStar,Africa,Exact,Parliament,COVID19,WorldTsunamiDayKe,WPFD2020,nationalrelaxationday,Coronavirus,SocialMediaandElections,COVID19,SouthAfrica,vaccine,LeanIN,COVID19,together,Asijiki,theSalmonLady,coronavirus,digital,AgainstAllOdds,Sudan,TMPL,music,Masuku,COVIDー19,ComeWheatMay,ZindziMandela,forgive,Greece,COVID19,GAUTENGCOVID19,,,BioRescue,Somalia,FeesMustFall,London,JustLikeYou,Ghana,Seal,ICYMI,Liberia,COVID19,audiA7,,disappointed,bbc1,Eritrea,SchoolMealsNow,21daysLockdown,AfricaDay2020,Farmajo,rewritetherules,Retweet,Iran,fund,Iran,CBSNews,EatOutAwards,ANC54
34,Mzansi,ADifferentBallGame,,Covid19SA,HelenZille,Matric2019,SAA,alcoholban,level3lockdown,AKAOrchestraOnTheSquare,ThrowbackThursday,CSAawards,YouthDay2020,euNITE947,,Tbt,findyourwave,QLEDTV,LiveAMP,government,,ComeDineSA,AfricaYouthLead,Geldhof,Zlist,IFCinsights,ResilienceForAll,AustraliaAtHome,adifferentworld,Covid19,ByElections,CNBCAfrica,jobs,COVID19,HenleyAfrica,COVID19,Africa,UPDATES,AkiyaSushi,COVID19,businessopportunity,AgainstAllOdds,COVID19,MNS17,Freetown,COVID19,Africa,GE2017,TheStarNews,light,refugees,GeorgeFloyd,COVID19SA,,,COVID19,cartoon,BlueforSudan,coding,JustLikeYou,Tanzania,Knysna,Coronavirus,Burundi,G20,A7,,irony,junk,Gabon,JoziToStellenbosch,factchecking,AfricaEveryDay,Labour,p30series,NAF16,TulsaTrumpRally,Banks,Angola,tacokuiper,PicksOfTheWeek,Magashule
35,Dababy,SoWhatNow,,CyrilRamaphosa,ProudAfrican,eskomloadshedding,COVID19,UnpopularOpinion,fruitsnackschallenge,AKAOrchestraEthekwini,MTVBaseLounge,CSAawards,June16,euNITE947,,RegenerativeAgriculture,fatherday2020,SisonkeWithGalaxy,LiveAMP,StrongerTogether,,InItToWinIt,AUECHO,CreateTomorrow,ParliamentAtWork,DefendDemocracy,iddr2018,PressFreedom,farmers,COVID19inSA,ByElections,DStv410,renewable,Africa,InfoSession,COVID19,Electricity,coronavirus,CocoSafar,WestAfrica,Ethiopian,AgainstAllOdds,irmct,AbdullahIbrahim,Ebola,Masuku,CoronavirusPandemic,Westminster,ZindziMandela,oatmeal,Norway,WHOAcademy,COVID19,,,ThornyIssuesLive,COVID19,Pride,Senegal,EnjoyElectric,Economics,Tinsel,Cameroon,coronavirus,COVID19,audisouthafrica,,firstworldproblems,ad,BurkinaFaso,JoziToStellenbosch,fakenews,TheRootsAfricaDay,Ugandan,guesswhat,366daysofmakingspace,BlackLivesMatter,commodity,Zimbabwe,Worst,ICYMI,ANC
36,SNL,SoWhatNow,,Covid19SA,EFF,GoldenGlobes,envhist,GoodeMorning,InsecureHBO,TheSneAKA,MTVBaseLounge,T20WorldCup,YouthDay2020,euNITE947,,climate,dad,Samsung,LiveAMP,Police,,ComeDineSA,COVID19,Archive,Parliament,MIFPrize,ResilienceForAll,Journalismisnotacrime,Rwanda,COVID2019,ByElections,COVID19,RenewableEnergy,COVID19,Productivity,agribusiness,opportunity,COVID19,HydeHotelCT,FLAIR,Kenya,AgainstAllOdds,level3lockdown,Ekaya,Lesotho,COVID19,Tanzania,OurNHS,RIPZindziMandela,CatsOfTwitter,Europe,Israeli,Masuku,,,thornyissueslive,Somalia,Nollywood,Arctic,MercedesBenz,Ethiopian,NewBalance,Bangangté,Somalia,ONEChampions,throwbackthursday,,Facebook,inauguration,Congo,JoziToStellenbosch,misinformation,junegloom,Ethiopia,NP,Kleinmond,WorldRefugeeDay,banking,Mnangagwa,InternationalWomensDay,PicksOfTheWeek,CR17
37,BlackFriday,DStv403,,Covid19SA,Gautenglegislature,OpenFuture,EnvHum,GoodeMorning,asyouwere,OrchestraEthekwini,MTVbaseDJTakeoverLive,CSAawards,June16,euNITE947,,secondaryeducation,quote,SamsungTV,LiveAMP,Zimbabwe,,ComeDineSA,AUCOVID19responseFund,CreateTomorrow,Zlist,IndependenceDay,IOWave2018,outrageous,SDGs,DellTechByte,ByElections,Lockdowns,90Ninety9Nine,XenophobiaInSouthAfrica,Communication,EthioChicken,agricultural,BREAKING,FHKCellarWines,Bunge,COVID19,CNBCAfrica,cyrilramaphosa,LyricTheatre,Freetown,Masuku,Mali,businessrates,ZindziMandela,powerofnature,Greece,Palestinian,GAUTENGCOVID19,,,Covid19,Somalia,BloodAndWater,Nigeria,UnrivalledAMG,leadership,NB,bangangté,coronavirus,ONEChampions,tbt,,firstworldproblems,migrants,GiletsJaunes,COVID19,notadesigner,losangeles,Israeli,7DaysToGo,Overberg,WorldRefugeeDay,privateequity,Zimbabwe,Flintlock19,picksoftheweek,ANC54
38,BeSafeOutThere,SoWhatNow,,Covid19SA,EFF,eskom,environmentalism,5FMBrainTeaser,InsecureHBO,SBJOJ,MTVBase,ThatsOurGame,RaceTheComradesLegends,KayaWinnersCircle,,GenerationEquality,EdTech,QLEDTV,YourSummerStories,lockdown,,ComeDineSA,COVID19,BuildTomorrowTogether,Parliament,Africa,ShareTheRoad,hardlysurprising,HLPF19,business,ByElections,CNBCAfrica,SoothAfrica,Brazil,Workplace,Drones,DYK,COVID19,SAMUChefBoxes,trypanosomiasis,Kenya,CNBCAfrica,Ramaphosa,TheLyrictheatre,Ebola,GAUTENGCOVID19,protests,STPs,TheStarNews,rawnature,menoumespiti,NileRiver,COVID19SA,,,ThornyIssuesLive,KahortagaCorona,BlackLivesMatter,TheresaMay,JustLikeYou,Tanzania,Buffelsbaai,Cameroon,Burundi,ONEChampions,AudiC100CoupeS,,elektron,migrantcrisis,Kenya,ReopeningSchools,Covid19SA,weather,Cameroon,GlobalMarketLeader,SouthAfrica,worldrefugeeday,Africa,IMF,NairobiAttacks,VISIArt,ANC
39,WhereIgotStarted,SoWhatNow,,Covid19SA,Gautenglegislature,DAparlyreview,africanreads,LiveAtNight,QueenSono,ComicConAfrica,TBT,CSAawards,ColdFront,euNITE947,,COVID19,COVID19,QLED8K,IDont,statecapture,,ComeDineSA,AUCOVID19responseFund,Forever,Zlist,EU,KenyaAirForce,journalismisnotacrime,Bamiloke,communications,ByElections,Mauritius,rural,UK,TopTips,Rwanda,DYK,IPHCChurchhostage,DarlingBrewWoodstock,Angola,Kenya,CNBCAfrica,UN,AI,Lesotho,COVID19SA,Zambia,tomorrowspaperstoday,cyrilramaphosa,storms,stayathome,COVID19,COVID19,,,IllegalWildlifeTrade,Ethiopia,bloodandwaternetflix,SDGs,JustLikeYou,Uganda,Teddy,Civ229,coronavirus,ONEChampions,AudiA7,,LitJuke,privacy,Congo,Covid19,FakeNewsStopsWithMe,Quarantine,Somali,Kirstenbosch,instabeach,WorldRefugeeDay,NSE,Ethiopia,nairobiattacks,VISIArt,ANC
40,LoudAndClearTour,SoWhatNow,,Covid19SA,LockdownHouseParty,LoadShedding,africanstories,5Drive,InsecureHBO,ComicConAfrica,ThrowbackThursday,CSAawards,ColdFront,TheWinnersCircle,,TogetherWeCan,AI,GalaxyWatchActive,LiveAMP,coronavirus,,ComeDineSA,COVID19,RAGE,NCOP,RepublicDay,FikaSalama,Journalismisnotacrime,Nurses,TokologoPhetla,ByElections,Coronavirus,Technology,covid19,mba,WorldRefugeeDay,humanity,IPHCChurchhostage,BellinghamWines,Kenya,Ghana,Covid19,COVID,MncedisiNdlovu,corruption,OutageUpdate,China,loveknowsnoborders,Covid_19,naturalmedicine,MigrationNewsroom,GlobalGoals,Masuku,,,wildlife,Eritrea,WeAreTired,Kenya,UnrivalledAMG,Angola,Fisherman,GCRF,Somalia,ONECampaignLive,audisouthafrica,,ironic,journalism,Ethiopia,Covid19,Masks4All,RamadanMubarak,EastAfrica,olgacallice,StreetArt,DCProtest,GSE,IMF,NairobiAttack,PicksOfTheWeek,land
41,LoudAndClearTour,CliffCentralApp,,Covid19SA,EFFMediaTrial,Eskom,newnarratives,Alcoholban,InsecureHBO,ComicConAfrica,OMSLockdown,ThatsOurGame,WednesdayWisdom,euNITE947,,TogetherWeCan,Wave2theWave,QLEDTV,LiveAMP,Lesotho,,ComeDineSA,COVID19,IconicSandton,NCOP,ID4dev,NTSA,WorldPressFreedomDay,midwives,ArtificialIntelligence,ByElections2019,Coronavirus,computer,covidSA,henleybusinessschool,COVID19,agricultural,ZondoCommission,AubergineCapeTown,Covid,AfricaDay,CNBCAfrica,Mali,BlackExcellence,taxhavens,JoburgServices,Iran,PMQs,Zuurbekom,naturedoctors,Lesvos,Africa,GAUTENGCOVID19,,,TheRhinoCup,coronavirus,ElmaRobynMontsumi,Kenya,TheBestOrNothing,AU,Fisherman,AfricaPrize,COVIDー19,ONECampaignLive,audiA6,,De,ethics,Eritrea,supplementarybudget,TigerKing,Day77,Africa,Kirstenbosch,SouthAfrica,Juneteenth,Africa,Abidjan,Nairobi,VISIBestBuys,MandelaFuneral
42,GlamourWOTY,NewGenAward,,Covid19SA,JuliusMalema,BlacksOnly,Covid,alcoholban,lol,SBJOJ,MTVBaseLounge,CSAawards,Knysna,euNITE947,,COVID19,Startups,TopEmpowerment,LiveAMP,ThePeoplesDialogue,,comedineSA,GERD,CreateTomorrow,NCOP,COVID19,DRR,WorldPressFreedomDay,Africa,Hauwei,Elections2019,Covid_19,donated,Covid_19,study,COVID,DYK,COVID19,CocoSafar,Uganda,Nigeria,CNBCconversation,COVID19,AbdullaIbrahim,documentary,Update,Africa,PMQs,Uzalowedding,architecture,migrationnewsroom,COVID19,COVID19SA,,,WorldRhinoDay,Somalia,Senegal,Kenya,JustLikeYou,Rwigara,Fisherman,business,Ramadan,ONECampaignLive,A6,,Adventure,BBOG,Congo,Covid19,TigerKing,FruitsnackChallenge,Britain,thecclub,art,coronavirus,Africa,Uber,media,VISIDesign,EskomInquiry
43,LoudAndClearWorldTour,coronavirus,,covid19SA,VBSMalema,SPARProteas,BlackLivesMatter,5Drive,standup,LyricsStillMatter,Wildfire,ThatsOurGame,gardenroute,FreshOn947,,TogetherWeCan,COVID19,BBBEE,LiveAMP,TheAsianAspiration,,KandyKane,Covid19,CreateTomorrow,NCOPVirtualSitting,Madagascar,IDRR,AlJazeera,energy,MatePadPro5G,PartyFunding,lockdown,connect,covid19,InfoSessions,Ethiopia,Africa,COVID19,SAMUChefBoxes,pandemic,Cameroon,CNBCAfrica,AzimjanAskarov,ThaboMbekiPresidentialLibrary,Marikana,JoburgRoadSafety,angola,trumppetition,TheStarNews,nature,MigrationNewsroom,Djibouti,COVID19,,,TCM,Mogadishu,Kebetu,Senegal,JustLikeYou,GhanaSaysNo,Fisherman,Bangangté,Ramadan2020,Kakuma,audisouthafrica,,FavAlbumsEver,London,Burundi,Covid19,shlockdown,tech,Somalia,Kirstenbosch,fineart,Philippines,Nigeria,Ethiopia,DusitAttack,ICYMI,Mbethe
44,SternShow,NelsonMandela,,covid19SA,Uyandazi,BonganiBongo,UIF,ForbesAndFix,saffa,sa4X4outdoorshow,MTVbaseDJTakeoverLive,CSAawards,Serengeti,947MixAt6,,TogetherWeCan,thewave,SisonkeWithGalaxy,LiveAMP,AsianAspiration,,AndreBadenhorst,YouthInnovationChallenge,TigerWheelandTyre,NCOP,IndependenceDay,DRR,FreeJulianAssange,Mozambique,Huawei,byelections2019,Covid_19,BreakingNews,Ethiopia,MBA,COVID19,population,JamnandasMustFall,HydeHotelCT,millet,Nigerian,CNBCAfrica,ASuitableBoy,excellence,Kenya,WeServeJoburg,Nigeria,MuslimBan,Eskom,americanwildlife,migrationnewsroom,DemocracyDay,GAUTENGCOVID19,,,LiveYourWild,Mozambique,WeAreTired,tessajowell,JustLikeYou,Tanzania,Fisherman,Cameroon,ramadankareem,ONEChampions,audiQ5,,Ironic,FollowFriday,Ethiopia,ReopeningSchools,Covid19SA,app,rationalLeader,Chinsta,prints,AfricaUntold,Ghana,EthioTelecom,NairobiAttack,VISIDesign,EskomInquiry
